school_id,school_name,school_conference,sets_played,match_win,match_loss,ttl_ace,ace_set,ttl_assist,assist_set,ttl_soloblock,ttl_blockassist,block_set,ttl_dig,dig_set,ttl_attkill,ttl_atterror,ttl_attack,attack_percentage,attack_set,attkill_set,win_percentage,ttl_oppkill,ttl_oppatterror,ttl_oppattack,oppattack_percentage
t048,Central St. (OH),SIAC,116,13,20,245,2.11,1030,8.88,55,200,1.34,1180,10.17,1136,654,3363,0.143,28.99,9.79,0.393939394,1201,583,3249,0.19
t049,Central Wash.,GNAC,94,18,7,150,1.6,1145,12.18,34,378,2.37,1500,15.96,1223,421,3278,0.245,34.87,13.01,0.72,1132,528,3416,0.177
t050,Chadron St.,RMAC,94,6,20,114,1.21,938,9.98,55,220,1.76,1549,16.48,1002,469,3408,0.156,36.26,10.66,0.230769231,1327,471,3564,0.24
t051,Chaminade,PacWest,123,28,5,253,2.06,1564,12.72,40,331,1.67,1716,13.95,1728,626,4222,0.261,34.33,14.05,0.848484848,1280,613,3968,0.168
t052,Charleston (WV),Mountain East,118,25,8,249,2.11,1401,11.87,95,347,2.28,1763,14.94,1506,588,4106,0.224,34.8,12.76,0.757575758,1333,697,4147,0.153
t053,Chestnut Hill,CACC,105,17,10,271,2.58,1172,11.16,52,195,1.42,1522,14.5,1246,644,3623,0.166,34.5,11.87,0.62962963,1036,512,3304,0.159
t054,Chico St.,CCAA,91,9,16,145,1.59,918,10.09,52,214,1.75,1282,14.09,997,452,3018,0.181,33.16,10.96,0.36,1199,459,3187,0.232
t055,Chowan,Conference Carolinas,90,4,21,153,1.7,734,8.16,36,126,1.1,1439,15.99,822,541,3192,0.088,35.47,9.13,0.16,1098,461,3303,0.193
t056,Christian Brothers,Gulf South,112,8,22,197,1.76,1176,10.5,40,200,1.25,1542,13.77,1275,677,3891,0.154,34.74,11.38,0.266666667,1310,505,3661,0.22
t057,Claflin,CIAA,64,2,17,91,1.42,423,6.61,21,87,1.01,878,13.72,464,479,2082,-0.007,32.53,7.25,0.105263158,724,343,2088,0.182
